access	[ˈækˌsɛs]	v. 获取 n. 接近，入口
project	[ˈprɑʤɛkt]	n. 工程；课题、作业
intention	[ˌɪnˈtɛnʧən]	n. 打算，意图
equivalence	[ɪkˈwɪvələns]	n. 等值，相等
negotiate	[nɪˈgoʊʃiˌeɪt]	v. 谈判，协商，交涉
disappointing	[ˌdɪsəˈpɔɪnɪŋ]	adj. 令人失望的
alternative	[ɔlˈtərnətɪv]	n. 代替品
generous	[ˈʤɛnərəs]	adj. 慷慨的
biological	[ˌbaɪəˈlɑʤɪkəl]	adj. 生物的
strategy	[ˈstrætəʤi]	n. 策略，战略
paradox	[ˈpɛrəˌdɑks]	n. 悖论；自相矛盾
primary	[ˈpraɪˌmɛri]	adj. 主要的，基本的
standpoint	[ˈstændˌpɔɪnt]	n. 立场
grab	[græb]	v. 抢先，抢占，抢夺
crucial	[ˈkruʃəl]	adj. 至关重要的
flaw	[flɔ]	n. 缺点；错误
depressed	[dɪˈprɛst]	adj. 萧条的；沮丧的
obstacle	[ˈɑbstəkəl]	n. 阻碍
automatic	[ˌɔtəˈmætɪk]	adj. 自动的
passionate	[ˈpæʃənət]	adj. 热情的
gambling	[ˈgæmbəlɪŋ]	n. 赌博
logic	[ˈlɑʤɪk]	n. 逻辑
theory	[ˈθɪri]	n. 理论
download	[ˈdaʊnˌloʊd]	v. 下载
signal	[ˈsɪgnəl]	n. 信号 v. 发信号，打信号；示意
authoritative	[əˈθɔrəˌteɪtɪv]	adj. 权威的
smooth	[smuð]	adj. 光滑的
institution	[ˌɪnstɪˈtuʃən]	n. 社会公共机构；制度；设立，制定
vehicle	[ˈviɪkəl]	n. 车辆
plague	[pleɪg]	v. 使困扰
psychological	[ˌsaɪkəˈlɑʤɪkəl]	adj. 心理上的
shade	[ʃeɪd]	n. 阴凉处
persistent	[pərˈsɪstənt]	adj. 持续的；坚持的
voluntary	[ˈvɑləntɛri]	adj. 自愿的，主动的
tolerance	[ˈtɑlərəns]	n. 宽容，容忍
senior	[ˈsinjər]	n. 老年人
individual	[ˌɪndəˈvɪʤəwəl]	n. 个人
contemporary	[kənˈtɛmpərˌɛri]	adj. 当代的，现代的
opposite	[ˈɑpəzɪt]	adj. 相反的
specialize	[ˈspɛʃəˌlaɪz]	v. 专业从事
content	[ˈkɑntɛnt]	n. 内容
philosopher	[fəˈlɑsəfər]	n. 哲学家
unrest	[ənˈrɛst]	n. 不安定，动荡
startle	[ˈstɑrtəl]	v. 吃惊
emission	[ɪˈmɪʃən]	n. 排放，辐射
overweight	[ˌoʊvərˈweɪt]	adj. 超重的
occupation	[ˌɑkjəˈpeɪʃən]	n. 职业，工作
mainstream	[ˈmeɪnˌstrim]	n. 主流
scholarship	[ˈskɑlərˌʃɪp]	n. 奖学金
contract	[ˈkɑnˌtrækt]	n. 合同
cheek	[ʧik]	n. 脸颊
interdependence	[ˌɪntərdəˈpɛndəns]	n. 相互依靠
import	[ˌɪmˈpɔrt]	n. 进口 v. 进口
fiction	[ˈfɪkʃən]	n. 小说，虚构的文学作品
upbringing	[ˈəpˌbrɪŋɪŋ]	n. 养育，培养，教养
preserve	[prɪˈzərv]	v. 保护
vitally	[ˈvaɪtəli]	adv. 极其重要地
masculine	[ˈmæskjələn]	adj. 男性的
advocate	[ˈædvəˌkeɪt]	v. 倡导 n. 提倡者，拥护者，鼓吹者
dust	[dəst]	n. 灰尘
track	[træk]	n. 足迹 v. 追踪，〔循着踪迹、气味等〕找寻
confidence	[ˈkɑnfədɛns]	n. 信心
riotous	[ˈraɪətəs]	adj. 狂暴的
sophisticated	[səˈfɪstɪˌkeɪtəd]	adj. 复杂的；世故的
similar	[ˈsɪmələr]	adj. 相似的
transform	[ˈtrænsfɔrm]	v. 改变
approve	[əˈpruv]	v. 赞成，同意
session	[ˈsɛʃən]	n. 开会，会议
awareness	[əˈwɛrnəs]	n. 意识
exhaust	[ɪgˈzɔst]	v. 使筋疲力尽
subsidize	[ˈsəbsɪˌdaɪz]	v. 提供补贴
grocery	[ˈgroʊsəri]	n. 杂货店
ignorance	[ˈɪgnərəns]	n. 无知，愚昧
intelligence	[ˌɪnˈtɛləʤəns]	n. 智力，智慧，理解力
tiny	[ˈtaɪni]	adj. 微小的
praise	[preɪz]	v. 赞扬，赞美
memorize	[ˈmɛmərˌaɪz]	v. 熟记，牢记
relative	[ˈrɛlətɪv]	adj. 相对的 n. 亲戚
breakthrough	[ˈbreɪkθˌru]	n. 突破
incidence	[ˈɪnsɪdəns]	n. 几率，发生率
scratch	[skræʧ]	n. 抓，划痕
harmful	[ˈhɑrmfəl]	adj. 有害的
undergo	[ˌəndərˈgoʊ]	v. 承受
recession	[ˌriˈsɛʃən]	n. 衰退
extraordinary	[ˌɛkstrəˈɔrdəˌnɛri]	adj. 非凡的
improper	[ˌɪmˈprɑpər]	adj. 不合适的，不适当的
marginalize	[ˈmɑrʤənəˌlaɪz]	v. 边缘化，排斥
vital	[ˈvaɪtəl]	adj. 重要的
fortunately	[ˈfɔrʧənətli]	adv. 幸运地
commencement	[kəˈmɛnsmənt]	n. 毕业典礼
fetch	[fɛʧ]	v. 取回
clumsy	[ˈkləmzi]	adj. 笨拙的，不圆滑的
establishment	[ɪˈstæblɪʃmənt]	n. 确立
emit	[ɪˈmɪt]	v. 发出，排出
entertaining	[ˌɛnərˈteɪnɪŋ]	adj. 有趣的，使人愉快的
irregular	[ˌɪˈrɛgjələr]	adj. 不规律的
psychologist	[saɪˈkɑləʤəst]	n. 心理学家
era	[ˈɪrə]	n. 纪元，年代
triumph	[traɪəmf]	n. 胜利
detection	[dɪˈtɛkʃən]	n. 侦查；察觉
cozy	[ˈkoʊzi]	adj. 舒适的
gallery	[ˈgæləri]	n. 美术馆
enormous	[ɪˈnɔrmɪs]	adj. 巨大的
obtain	[əbˈteɪn]	v. 获得
desert	[ˈdɛzərt]	v. 抛弃
aviate	[aviate*]	v. 驾驶飞机
determine	[dɪˈtərmən]	v. 决定；下决心
disappear	[ˌdɪsəˈpɪr]	v. 不见，消失
entitle	[ɪnˈtaɪtəl]	v. 使具有权利，使具有资格
relieve	[rɪˈliv]	v. 解除，减轻，缓解
generosity	[ˌʤɛnərˈɑsəti]	n. 慷慨，大方
colleague	[ˈkɑlig]	n. 同事
undertake	[ˈəndərˌteɪk]	v. 承担
convenient	[kənˈvinjənt]	adj. 方便的
preferentially	[ˌprɛfərˈɛnʃəli]	adv. 优先地
column	[ˈkɑləm]	n. 专栏
affectionate	[əˈfɛkʃənət]	adj. 深情的，柔情的
issue	[ˈɪʃu]	v. 发表〔声明〕 n. 问题
inquire	[ˌɪnkˈwaɪr]	v. 询问
groundlessly	[groundlessly*]	adv. 无缘无故地，无根据地
independently	[ˌɪndɪˈpɛndəntli]	adv. 独立地
approach	[əˈproʊʧ]	v. 靠近 n. 方法
administration	[ædˌmɪnɪˈstreɪʃən]	n. 管理；〔某一时期的〕政府
adversity	[ædˈvərsɪˌti]	n. 逆境，不幸
technician	[tɛkˈnɪʃən]	n. 技术员，技师
regular	[ˈrɛgjələr]	adj. 有规律的，经常的
miscalculation	[mɪˈskælkjəˈleɪʃən]	n. 算错，误算
hinder	[ˈhɪndər]	v. 阻碍
selection	[səˈlɛkʃən]	n. 选择，挑选
tide	[taɪd]	n. 潮水
superior	[suˈpɪriər]	adj. 上级的，较高的 n. 上级，长官
matter	[ˈmætər]	v. 要紧，重要
passively	[ˈpæsɪvli]	adv. 消极地
grant	[grænt]	v. 授予；允许
liberation	[ˌlɪˌbərˈeɪʃən]	n. 解放
observe	[əbˈzərv]	v. 遵守
institute	[ˈɪnstɪˌtut]	v. 建立 n. 〔从事科研或教育等的〕机构；学院；研究院
dormitory	[ˈdɔrməˌtɔri]	n. 宿舍
awful	[ˈɔfəl]	adj. 可怕的，骇人的
emergency	[ˈimərʤənsi]	n. 紧急情况
stress	[strɛs]	n. 压力；重音
launch	[lɔnʧ]	v. 发动
suppose	[səˈpoʊz]	v. 料想，以为；假定；期望
remove	[riˈmuv]	v. 消除，移除
exposure	[ɪkˈspoʊʒər]	n. 暴露；揭露
promote	[prəˈmoʊt]	v. 促进，提升；推销
engage	[ɪnˈgeɪʤ]	v. 从事；吸引
uncertain	[ənˈsərtən]	adj. 不确定的
accommodate	[əˈkɑməˌdeɪt]	v. 为…提供住宿
slave	[sleɪv]	n. 奴隶
mature	[məˈʧʊr]	adj. 成熟的
contrast	[ˈkɑntræst]	n. 对照物 v. 对比
clinic	[ˈklɪnɪk]	n. 诊所
award	[əˈwɔrd]	v. 授予；判给 n. 奖(金)
worthwhile	[ˈwərθˈwaɪl]	adj. 有价值的
cruelty	[ˈkruəlti]	n. 残暴，残酷
threaten	[θˈrɛtən]	v. 威胁
chemical	[ˈkɛmɪkəl]	adj. 化学的 n. 化学制品
consistent	[kənˈsɪstənt]	adj. 一致的
