あ		expr.	Ah; oh
ああ		adv.	ah; yes
アフリカ		n.(kat.)	Africa
上がる	あがる	v.(u. i.)	to rise
挨拶	あいさつ	n.(suru)	to greet
味	あじ	n.	flavor; taste​; uniqueness; attractiveness; experience
アジア		n.(kat.)	Asia
赤ちゃん	あかちゃん	n.	baby; infant
赤ん坊	あかんぼう	n.	baby; infant
アクセサリー		n.(kat.)	accessory
アメリカ		n.(kat.)	America
アナウンサー		n.(kat.)	announcer
あんな		pren.	such
案内	あんない	n.(suru)	to guide
安心	あんしん	n.(na-adj. suru)	peace of mind
安全	あんぜん	n.(na-adj.)	safety; security​
アルバイト		n.(suru kat.)	part-time job
アルコール		n.(kat.)	alcohol
浅い	あさい	adj.(i-adj.)	shallow
遊び	あそび	n.	playing
集まる	あつまる	v.(u. i.)	to gather; to collect; to assemble
集める	あつめる	v.(ru. t.)	to collect; to assemble; to gather
謝る	あやまる	v.(u.)	to apologize
倍	ばい	n.	double
番組	ばんぐみ	n.	program (e.g. TV)
場所	ばしょ	n.	place
ベル		n.(kat.)	bell
美術館	びじゅつかん	n.	art gallery; art museum
びっくり		adv.(suru)	to be surprised
ビル		n.(kat.)	building
僕	ぼく	pron.	I (used by males)
貿易	ぼうえき	n.(suru)	trade
部長	ぶちょう	n.	manager; head (chief, director) of a section or department
ぶどう		n.	grapes
文学	ぶんがく	n.	literature
文化	ぶんか	n.	culture
文法	ぶんぽう	n.	grammar
ちゃん		suf.	suffix for familiar female person
チェック		n.(suru kat.)	to check
血	ち	n.	blood
力	ちから	n.	energy; force; strength; might; power
地理	ちり	n.	geography
中学校	ちゅうがっこう	n.	junior high school; middle school
注意	ちゅうい	n.(suru)	caution
注射	ちゅうしゃ	n.(suru)	injection
駐車場	ちゅうしゃじょう	n.	parking lot
大分	だいぶ	adv.	considerably; greatly; a lot​
大学生	だいがくせい	n.	university student; college student
大事	だいじ	adj.(na-adj.)	important; serious; crucial
大体	だいたい	n.	roughly
暖房	だんぼう	n.(suru)	heating
男性	だんせい	n.	man; male
できるだけ		adv.	as much as possible
電報	でんぽう	n.	telegram
電灯	でんとう	n.	electric light
どんどん		adv.	rapidly; more and more
泥棒	どろぼう	n.	thief
